scenery,furniture,animal,plant
Bay,ball,Alligator,Apple
cave,bed,Alpaca,Apricot
Cliff,book,Anteater,Bamboo
cloud,Bookcase,Ants,Banana
Coast,Bowl,Bats,Bean
desert,cabinet,bear,Bougainvillea
farmland,cart,Bee,carrot
flowergarden,chair,bird,Clove
Forests,chests,Buffalo,Coconut
glacier,clock,Butterfly,Coffeeplant
grassland,Clothes,Camel,Corn
hedges,desks,Cat,Corneliantree
horizon,fridge,Caterpillar,Cottonplant
Lake,pan,Cheetah,Dogwood
lighthouse,Piano,Chicken,Durian
Mountains,sofa,Civet,Fern
plain,spoon,Cock,Ferns
plateau,table,Cockroaches,Fig
river,Umbrella,Coral,Flax
savannah,,cows,Flower
sky,,Crab,Frangipani
valley,,Dog,Grass
volcano,,donkey,Hibiscus
Waterbodies,,Dragonfly,Jackfruit
waterfall,,Duck,Lantana
,,Elephant,Moss
,,Fish,Mushroom
,,flamingo,OrchidTree
,,Flies,Palmtree
,,fox,Pea
,,Frog,radish
,,Giraffe,RangoonCreeper
,,horse,Reed
,,Jellyfish,Rose
,,Lizard,Shrub
,,Monkey,Tulip
,,Mosquito,watermelon
,,Owl,Weed
,,panda,wheat
,,Pangolins,Wildflower
,,pig,
,,Rabbit,
,,scorpion,
,,shrimp,
,,Snail,
,,Snake,
,,Spider,
,,tiger,
,,Turtle,
,,Whale,
